TradeNumber,CustomerName,CustomerType,ProductType,UnitsPerCut,ProdPlant,MinWeight,MaxWeight,TargetWeight,BirdSize,AllowedParts
50624,CHICK FIL A INC,FDS,NUGGET,1,FSP,10,19,15,SB,D
50623,CHICK FIL A INC,FDS,BSBFSM,1,FSP,93,110,102,SB,D
49515,WALMART D93 IF,RTL,STRIP,1,SS2,30,75,45,BB,G
24227,WING STOP,FDS,NUGGET,1,SS2,11,21,17,BB,J
17191,OLIVE GARDEN,FDS,BSBFMD,1,VBS,105,125,117,BB,"D,R,M,T,K"
31035,SAMS,RTL,BSBFSM,1,VBS,135,215,180,SB/BB,"D,R,M,T,V,K"
50652,CHICK FIL A INC,FDS,NUGGET,1,FSP,10,17,14,SB,D
11613,SIMMONS,COM,NUGGET,1,SS2,15,25,20,BB,"D,J,W"
17732,KFC INTL,FDS,BSBFJB,1,VBS,90,105,97,BB,D
17642,OLIVE GARDEN,FDS,BSBFJB,1,VBS,67,85,80,BB,"R,M,K"
31619,CRACKER BARREL,FDS,BSBFMD,1,SS2,121,141,131,BB,"D,J,G,T"
13821,SIMMONS,COM,NUGGET,1,SS2,15,25,20,BB,"D,J,W"
31213,BJS RESTAURANT,FDS,BSBFMD,1,VBS,145,160,152,BB,"D,R,M,T,V,K"
37151,WALMART D93 IF,RTL,BSBFJB,1,VBS,95,222,165,BB,"D,R,M,T,V,K,S,U"
38130,WALMART D93 IF,RTL,BSBFJB,1,VBS,95,222,166,BB,"D,R,M,T,V,K,S,U"
37150,WALMART D93 IF,RTL,BSBFJB,1,VBS,95,222,165,BB,"D,R,M,T,V,K,S,U"
53305,WENDYS,FDS,BSBFMD,1,VBS,75,105,90,BB,C
22020,CHEESECAKE FACTORY,FDS,BSBFJB,1,VBS,110,130,120,BB,"R,V"
31758,SIMMONS,FDS,NUGGET,1,SS2,8,18,13,BB,D
31742,WALMART D93 IF,RTL,BSBFJB,1,VBS,70,100,78,BB,"D,R,M,T,V,K"
49527,WALMART D93 IF,RTL,BSBFJB,1,VBS,70,100,85,BB,"D,R,M,T,V,K"
49516,WALMART D93 IF,RTL,NUGGET,1,SS2,11,21,16,BB,"D,J,W"
42626,MCALISTERS DELI,FDS,BSBFJB,1,SS2,130,400,265,BB,U
44713,WALMART D93 IF,RTL,NUGGET,1,SS2,5,15,10,BB,"D,J,W"
21597,BJS RESTAURANT,FDS,NUGGET,1,SS2,8,18,13,BB,D
42340,WALMART D91 FC FROZEN,RTL,BSBFJB,1,VBS,95,125,115,BB,"D,R,M,T,V,K"
50625,CHICK FIL A INC,FDS,BSBFSM,1,FSP,58,68,63,SB,D
49522,WALMART D91 FC FROZEN,RTL,NUGGET,1,SS2,11,21,15,BB,"D,J,W"
31127,BUFFALO WILD WINGS,FDS,NUGGET,1,SS2,13,23,18,BB,J
49257,WALMART D91 FC FROZEN,RTL,BSBFJB,1,VBS,95,125,110,BB,"D,R,M,T,V,K"
22720,CHEESECAKE FACTORY,FDS,BSBFJB,1,VBS,100,120,110,BB,"D,T"
40048,CHILIS,FDS,BSBFJB,1,VBS,122,138,130,BB,R
49509,WALMART D91 FC FROZEN,RTL,STRIP,1,SS2,30,75,50,BB,G
20898,APPLEBEES,FDS,NUGGET,1,SS2,12,20,15,BB,C
25155,DOMINOS PIZZA,FDS,NUGGET,1,SS2,11,21,16,BB,C
50629,CHICK FIL A INC,FDS,BSBFSM,1,FSP,50,60,55,SB,D
10402,SIMMONS,COM,BSBFJB,1,SS2,75,400,166,BB,"D,R,M,T,V,K,S,U"
38765,54TH STREET GRILL,FDS,BSBFJB,1,SS2,212,242,227,BB,C
28929,KROGER,RTL,BSBFJB,1,VBS,95,125,115,BB,"D,R,M,T,K"
27616,BJS RESTAURANT,FDS,BSBFMD,1,VBS,90,110,100,BB,"D,T"
45064,CHICK FIL A INC,FDS,BSBFMD,1,FSP,60,70,65,BB,D
36973,WALMART D93 IF,RTL,NUGGET,1,SS2,9,19,14,BB,"D,J,W"
53303,WENDYS,FDS,BSBFMD,1,VBS,75,105,90,BB,C
20918,BAHAMA BREEZE,FDS,BSBFMD,1,VBS,140,160,147,BB,"D,R,M,T,V,K"
49506,WALMART D91 FC FROZEN,RTL,NUGGET,1,SS2,11,21,15,BB,"D,J,W"
39771,ALDI INC,RTL,BSBFJB,1,VBS,95,400,247,BB,"D,R,M,T,V,K,S,U"
14250,JOLLIBEE USA,INT,BSBFJB,1,SS2,100,123,112,BB,K
38754,54TH STREET GRILL,FDS,NUGGET,1,SS2,21,35,28,BB,D
73058,PIZZA HUT,FDS,NUGGET,1,SS2,11,21,16.5,BB,J
18870,SIMMONS,FDS,NUGGET,1,SS2,11,21,16,BB,D
